model,image,resolution,detections,average confidence
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-00.jpg,16,45,0.40628570318222046
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-00.jpg,16,41,0.3616146743297577
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-05-30.jpg,16,40,0.4199816882610321
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-05-30.jpg,16,52,0.41826289892196655
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-05-30.jpg,16,42,0.43805059790611267
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-05-30.jpg,16,59,0.39413323998451233
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-05-30.jpg,16,44,0.39580848813056946
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-00.jpg,16,32,0.41806545853614807
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-00.jpg,16,50,0.40015336871147156
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-00.jpg,16,36,0.41115403175354004
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-00.jpg,16,44,0.40299469232559204
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-04-00.jpg,16,47,0.3777353763580322
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-15-30.jpg,16,28,0.43459561467170715
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-15-30.jpg,16,36,0.42444291710853577
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-15-30.jpg,16,27,0.4245290756225586
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-15-30.jpg,16,37,0.3952445089817047
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-15-30.jpg,16,27,0.3791918158531189
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-30.jpg,16,32,0.44304582476615906
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-30.jpg,16,35,0.3920331299304962
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-30.jpg,16,33,0.4261966049671173
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-30.jpg,16,43,0.3968909978866577
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-08-30.jpg,16,34,0.36110571026802063
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-00-30.jpg,16,29,0.4473063051700592
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-00-30.jpg,16,42,0.42719390988349915
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-00-30.jpg,16,30,0.46756768226623535
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-00-30.jpg,16,42,0.40565747022628784
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-00-30.jpg,16,48,0.40044164657592773
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-16-30.jpg,16,30,0.41643470525741577
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-16-30.jpg,16,36,0.43301862478256226
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-16-30.jpg,16,35,0.39073431491851807
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-16-30.jpg,16,39,0.3905308246612549
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-16-30.jpg,16,38,0.3518751263618469
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-30.jpg,16,34,0.4239250123500824
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-30.jpg,16,42,0.42876213788986206
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-30.jpg,16,34,0.4663598835468292
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-30.jpg,16,40,0.4241354167461395
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-30.jpg,16,46,0.36049768328666687
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-30.jpg,16,37,0.41204166412353516
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-30.jpg,16,47,0.4200590252876282
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-30.jpg,16,38,0.38186830282211304
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-30.jpg,16,43,0.381818562746048
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-03-30.jpg,16,45,0.3778001666069031
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-19-30.jpg,16,27,0.4171704649925232
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-19-30.jpg,16,35,0.38617804646492004
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-19-30.jpg,16,42,0.3867311179637909
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-19-30.jpg,16,31,0.38319459557533264
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-19-30.jpg,16,25,0.35151800513267517
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-07-30.jpg,16,34,0.43961721658706665
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-07-30.jpg,16,39,0.3994161784648895
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-07-30.jpg,16,41,0.4273093044757843
